State/Territory,Veganism Count
Maharashtra,30
Karnataka,34
Tamil Nadu,21
Uttar Pradesh,50
Gujarat,69
Rajasthan,60
Delhi,
Madhya Pradesh,45
Haryana,
Goa,
Kerala,6
Andhra Pradesh,6
West Bengal,6
Bihar,24
Punjab,54
Jharkhand,
Telangana,10
Puducherry,
Chandigarh,
Orissa,6
Jammu And Kashmir,15
Himachal Pradesh,
Manipur,
Chhattisgarh,
Uttaranchal,
Meghalaya,
Assam,15
